1100.015778, 73        , It: 4000, Time: 102, covered: 42, reach_func: 4, reach_branch: 92
1102.322245, 74        , It: 4000, Time: 102, covered: 42, reach_func: 4, reach_branch: 92
1103.032147, 75        , It: 4000, Time: 101, covered: 42, reach_func: 4, reach_branch: 92
1103.873977, 76        , It: 4000, Time: 102, covered: 42, reach_func: 4, reach_branch: 92
1104.486418, 77        , It: 4000, Time: 103, covered: 42, reach_func: 4, reach_branch: 92
1105.207317, 78        , It: 4000, Time: 104, covered: 42, reach_func: 4, reach_branch: 92
1107.356862, 79        , It: 4000, Time: 103, covered: 42, reach_func: 4, reach_branch: 92
1108.946901, 80        , It: 4000, Time: 101, covered: 40, reach_func: 4, reach_branch: 92
1203.083727, 81        , It: 4000, Time: 100, covered: 42, reach_func: 4, reach_branch: 92
1203.395751, 82        , It: 4000, Time: 103, covered: 42, reach_func: 4, reach_branch: 92
1204.124349, 83        , It: 4000, Time: 102, covered: 42, reach_func: 4, reach_branch: 92
1204.884894, 84        , It: 4000, Time: 101, covered: 42, reach_func: 4, reach_branch: 92
1206.027983, 85        , It: 4000, Time: 101, covered: 42, reach_func: 4, reach_branch: 92
1206.72046, 86        , It: 4000, Time: 101, covered: 42, reach_func: 4, reach_branch: 92
1207.175093, 87        , It: 4000, Time: 100, covered: 42, reach_func: 4, reach_branch: 92
1207.248272, 88        , It: 4000, Time: 99, covered: 42, reach_func: 4, reach_branch: 92
2084.465221, 89        , It: 4000, Time: 1520, covered: 40, reach_func: 4, reach_branch: 92
2091.774988, 90        , It: 4000, Time: 1525, covered: 42, reach_func: 4, reach_branch: 92
2112.31315, 91        , It: 4000, Time: 28, covered: 42, reach_func: 4, reach_branch: 92
2118.737075, 92        , It: 4000, Time: 27, covered: 42, reach_func: 4, reach_branch: 92
2137.413541, 93        , It: 4000, Time: 25, covered: 42, reach_func: 4, reach_branch: 92
2144.045584, 94        , It: 4000, Time: 26, covered: 49, reach_func: 4, reach_branch: 92
2161.586328, 95        , It: 4000, Time: 24, covered: 42, reach_func: 4, reach_branch: 92
2168.200595, 96        , It: 4000, Time: 24, covered: 40, reach_func: 4, reach_branch: 92
2185.673926, 97        , It: 4000, Time: 24, covered: 42, reach_func: 4, reach_branch: 92
2192.611596, 98        , It: 4000, Time: 24, covered: 42, reach_func: 4, reach_branch: 92
2209.551787, 99        , It: 4000, Time: 24, covered: 42, reach_func: 4, reach_branch: 92
2214.707116, 100       , It: 4000, Time: 22, covered: 40, reach_func: 4, reach_branch: 92
