2348.905144, 73        , It: 4000, Time: 101, covered: 42, reach_func: 4, reach_branch: 92
2452.450748, 74        , It: 4000, Time: 103, covered: 42, reach_func: 4, reach_branch: 92
2524.756247, 75        , It: 4000, Time: 73, covered: 42, reach_func: 4, reach_branch: 92
2542.454351, 76        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2560.035284, 77        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2577.457337, 78        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2595.069778, 79        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2612.419271, 80        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2630.140429, 81        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2647.673306, 82        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2665.227899, 83        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2682.546304, 84        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2700.455837, 85        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2717.932692, 86        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2735.475571, 87        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2753.217338, 88        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2770.95722, 89        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2788.476754, 90        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2806.259292, 91        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2823.701195, 92        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2841.186372, 93        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2858.452752, 94        , It: 4000, Time: 17, covered: 40, reach_func: 4, reach_branch: 92
2876.226966, 95        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2893.814175, 96        , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
2911.572679, 97        , It: 4000, Time: 17, covered: 40, reach_func: 4, reach_branch: 92
2929.809164, 98        , It: 4000, Time: 19, covered: 42, reach_func: 4, reach_branch: 92
2947.408621, 99        , It: 4000, Time: 17, covered: 42, reach_func: 4, reach_branch: 92
2965.072334, 100       , It: 4000, Time: 18, covered: 42, reach_func: 4, reach_branch: 92
